"","Year","Origin","Dest","CNT","DepDelaySum","ArrDelaySum"
"184",1998,"MCO","MCI",973,3303,1951
"185",1998,"TPA","MIA",2,-3,1
"186",1999,"LGB","PHX",1677,6818,12016
"187",1999,"SDF","PIT",1295,5794,7898
"188",1999,"BOS","RSW",937,6147,4299
"189",1999,"LAX","SMF",5425,58975,50053
"190",1999,"RDU","STL",1380,4451,1944
"191",1999,"MSP","SUX",682,2397,3021
"192",1999,"ATL","MLB",1775,15491,13360
"193",1999,"DTW","MSP",4999,64021,47525
"194",1999,"PHX","ONT",7116,81987,84912
"195",1999,"PBI","ORD",889,7874,11479
"196",1999,"TYS","ORD",1006,7681,8798
"197",1999,"BUR","PDX",1045,11234,7979
"198",1999,"PBI","DFW",1923,8904,6762
"199",1999,"MSP","FAR",2541,14435,11584
"200",1999,"ORD","BOI",443,7710,7128
"201",1999,"RIC","BOS",292,9264,9660
"202",1999,"ORD","BWI",2351,32232,35995
"203",1999,"MHT","MCI",148,454,-2062
"204",2000,"LAX","RNO",3638,51632,50517
"205",2000,"SEA","STL",1919,21045,17486
"206",2000,"MIA","STT",627,8833,5664
"207",2000,"DFW","TUL",2072,28773,21925
"208",2000,"PHX","ONT",7354,105472,104897
"209",2000,"CLT","DTW",2882,19096,20542
"210",2000,"MIA","DTW",1823,17556,8725
"211",2000,"STL","ELP",179,1842,1261
"212",2000,"MDW","EWR",612,8896,9567
"213",2000,"ATL","HNL",364,7397,2918
"214",2000,"ORD","IAD",3198,59610,53647
"215",2000,"PIT","ATL",3835,31684,33484
"216",2000,"HRL","AUS",364,2527,2710
"217",2000,"JAX","BHM",366,547,-162
"218",2000,"ATL","CLE",2724,17839,14786
"219",2001,"PIT","MCI",1385,11620,7333
"220",2001,"IAH","PIT",2250,7313,6066
"221",2001,"IND","DCA",579,499,358
"222",2001,"BWI","MCI",1083,10294,3872
"223",2001,"PVD","PHX",703,2808,-5104
"224",2001,"ONT","BNA",361,3293,125
"225",2001,"JFK","SEA",936,11716,7641
"226",2001,"LIH","SFO",382,3595,3591
"227",2001,"ATL","SFO",2738,34551,18142
"228",2001,"EUG","DEN",293,634,387
"229",2001,"DEN","LNK",372,4108,3731
"230",2001,"EUG","SFO",1560,17662,12769
"231",2001,"DEN","LAS",4311,50379,40169
"232",2001,"SLC","CVG",1965,9619,6656
"233",2001,"LGB","DFW",1364,3824,6294
"234",2001,"SCC","ANC",406,4219,3609
"235",2002,"BHM","CLT",1387,-2360,1489
"236",2002,"PVD","PIT",1444,-805,190
"237",2002,"FLL","LGA",2446,27546,14872
"238",2002,"DAL","ABQ",2401,27173,15390
"239",2002,"TPA","FLL",4051,40242,35909
"240",2002,"BWI","CLE",3134,27501,21510
"241",2002,"RDU","MCO",376,3937,1802
"242",2002,"LBB","AUS",725,6937,5774
"243",2002,"STL","BHM",365,1583,-814
"244",2002,"EWR","DTW",4222,11070,3916
"245",2002,"IND","MSP",1773,1078,1212
"246",2002,"GRR","MEM",259,560,1015
"247",2002,"OAK","DEN",1791,5415,2669
"248",2002,"DEN","CLT",1063,571,-645
"249",2002,"ATL","SNA",1056,7575,11442
"250",2002,"BNA","GUC",1,-3,8
"251",2002,"BUR","SEA",1354,8978,6756
"252",2002,"SEA","EWR",1451,2825,-1591
"253",2003,"DEN","IND",1087,4499,2426
"254",2003,"ORD","SEA",4651,45429,25825
"255",2003,"SFO","IAH",2599,4900,-2791
"256",2003,"SFO","PHL",2196,5480,2530
"257",2003,"BHM","TPA",708,6042,4121
"258",2003,"BOI","GEG",1051,3403,-728
"259",2003,"LAS","ALB",365,4745,808
"260",2003,"STL","BWI",2535,5058,-5001
"261",2003,"DTW","SYR",1376,5657,6132
"262",2003,"MEM","BOS",359,310,-379
"263",2003,"CHS","EWR",948,10910,11354
"264",2003,"CLE","MEM",889,3821,5056
"265",2003,"EWR","CVG",2487,10067,25038
"266",2003,"HSV","IAH",750,-109,3457
"267",2003,"PWM","EWR",1333,11758,18515
"268",2003,"BOS","RSW",830,3585,-388
"269",2003,"ATL","RDU",5211,37755,36288
"270",2003,"CVG","ORF",522,1698,2144
"271",2003,"TPA","BOS",1113,3573,918
"272",2003,"RSW","DFW",562,2913,2990
"273",2003,"BNA","MIA",381,-943,-1478
"274",2003,"BDL","STL",851,-1017,-4026
"275",2003,"MEM","ORF",84,442,-62
"276",2004,"IAD","MCO",2670,14507,3199
"277",2004,"DEN","SNA",1795,10999,6524
"278",2004,"BIL","DEN",1194,3794,3226
"279",2004,"BUF","PHL",1400,7708,10138
"280",2004,"LIT","LAS",379,3691,522
"281",2004,"MSP","BIL",1083,6054,6845
"282",2004,"BUF","CVG",1409,10408,1374
"283",2004,"SAV","LGA",1040,10767,3310
"284",2004,"LAN","CRW",1,16,NA
"285",2004,"DFW","SAV",962,4977,182
"286",2004,"ATL","BMI",966,13549,10930
"287",2004,"DFW","SPS",2163,3044,3740
"288",2004,"DSM","DFW",1677,12316,7454
"289",2004,"ORD","ORF",2228,53810,49750
"290",2004,"JFK","GSO",357,3576,859
"291",2004,"GEG","PSC",2,11,NA
"292",2005,"MIA","ORD",3686,59970,52322
"293",2005,"LGA","IAD",503,11235,4347
"294",2005,"PHL","IND",1190,13637,5796
"295",2005,"SJU","LGA",59,1016,1013
"296",2005,"RSW","CMH",13,29,118
"297",2005,"BWI","BDL",3001,36603,27236
"298",2005,"JAX","IND",365,733,-1476
"299",2005,"LAS","SAN",6060,65871,54786
"300",2005,"TPA","IND",1035,6209,3862
"301",2005,"EWR","MSP",3754,39223,37369
"302",2005,"STL","MEM",759,-172,457
"303",2005,"CVG","MEM",2002,12722,8358
"304",2005,"ATL","OMA",1786,32018,15978
"305",2005,"CPR","GJT",2,92,NA
"306",2005,"PBI","IAH",1146,174,1387
"307",2005,"DCA","MDW",1393,-1878,-4917
"308",2005,"FLL","IND",508,4702,7603
"309",2005,"IAD","OAK",1559,8937,-2456
"310",2005,"ATL","COS",722,6574,5771
"311",2005,"ROC","TPA",362,437,779
"312",2005,"HPN","ORD",1961,29726,27086
"313",2005,"BOS","STT",99,631,126
"314",2005,"STL","MIA",715,3495,4183
"315",2005,"MEM","MSN",29,43,215
"316",2005,"BUR","JFK",830,2984,37
"317",2006,"PWM","DCA",119,1428,1461
"318",2006,"ELP","DAL",1985,10115,1719
"319",2006,"FAT","LAS",1970,21994,19076
"320",2006,"CMH","LGA",2889,45763,51769
"321",2006,"LGA","JAX",1372,26496,25062
"322",2006,"CVG","IND",455,1663,-615
"323",2006,"ORD","BHM",1141,21711,17961
"324",2006,"EWR","STL",1532,23953,24454
"325",2006,"BDL","ORD",3729,47331,43281
"326",2006,"DCA","DEN",1384,4748,5500
"327",2006,"ORD","SWF",1053,14856,13615
"328",2006,"MEM","MSY",1084,8441,9884
"329",2006,"RAP","MSP",795,2361,1221
"330",2006,"DCA","LAX",364,1080,764
"331",2006,"BUR","SEA",1452,16824,13431
"332",2006,"EWR","SAT",688,14653,14860
"333",2006,"PHL","GSO",8,73,58
"334",2006,"TYS","GRR",1,162,NA
"335",2006,"DSM","SLC",189,-10,1559
"336",2006,"ALB","TPA",64,317,-636
"337",2006,"ATW","GRR",1,128,NA
"338",2006,"RDD","MRY",1,0,NA
"339",2007,"STL","LIT",702,11840,9198
"340",2007,"JAX","ORF",727,6346,5031
"341",2007,"LAS","LAX",13586,125572,111121
"342",2007,"LAS","OAK",6064,62354,35571
"343",2007,"MCI","SAN",709,7883,-1160
"344",2007,"IAH","TLH",730,10009,7586
"345",2007,"IAD","PIT",1479,29094,25377
"346",2007,"SEA","PDX",2611,714,5775
"347",2007,"ACV","SFO",2802,40122,39926
"348",2007,"RAP","TWF",1,347,NA
"349",2007,"PDX","IAD",361,1682,1362
"350",2007,"SEA","HNL",1475,16150,16732
"351",2007,"BZN","ATL",60,354,422
"352",2007,"JAC","CVG",16,49,74
"353",2007,"CHA","ATL",1781,34657,34107
"354",2007,"DTW","LAX",1650,25255,30829
"355",2007,"RIC","MEM",283,2154,2056
"356",2007,"SAT","DFW",4850,54742,62948
"357",2007,"EGE","MIA",33,1697,1516
"358",2007,"JFK","BTV",2072,38412,40041
"359",2007,"JFK","BUR",1601,19401,11689
"360",2007,"LGB","BOS",814,2190,1813
"361",2007,"PBI","EWR",2792,64021,65581
"362",2007,"CVG","IND",274,953,-99
"363",2007,"CRW","DAY",1,-4,NA
"364",2008,"MDW","OMA",2026,23537,18221
"365",2008,"STL","MCO",2401,13017,4158
"366",2008,"AUS","MCO",632,5337,2111
"367",2008,"BUF","MDW",1261,10830,2970
"368",2008,"ONT","COS",458,2808,2170
"369",2008,"CLE","ALB",1086,6517,6619
"370",2008,"CLE","DTW",1329,4773,4269
"371",2008,"ATL","DEN",5698,45421,48438
"372",2008,"CVG","ABE",247,2227,971
"373",2008,"ATL","BHM",2828,29144,24817
"374",2008,"BUR","SLC",1668,4732,-684
"375",2008,"RAP","SLC",744,-1092,1255
"376",2008,"SLC","AUS",549,4760,4842
"377",2008,"XNA","DEN",678,2466,3177
"378",2008,"SJC","IAD",243,-76,-2705
"379",2008,"PNS","ATL",4373,38648,43351
"380",2008,"STT","JFK",356,5937,8529
"381",2008,"DTW","AZO",1118,8311,7441
"382",2008,"BNA","MEM",998,4745,5955
"383",2008,"GRR","DCA",298,1078,-423
"384",2008,"IAH","MIA",2688,30495,25867
"385",2008,"RNO","ORD",358,11372,11072
"386",2008,"SEA","LGB",1484,11473,5279
"387",2008,"IAH","BOS",1804,24596,18962
"388",2008,"HDN","EWR",14,433,406
"389",2008,"CLE","DAB",11,75,49
"390",2008,"CMH","DCA",76,-353,-505
"391",2008,"ABQ","CLE",12,43,-79
"392",2008,"COS","MEM",116,597,518
"393",2002,"MTJ","DEN",6,-35,-46
"394",1987,"SNA","SJC",925,6283,8870
"395",1987,"MCI","TUL",639,3969,4016
"396",1987,"DTW","TPA",261,2021,3715
"397",1987,"LAX","MIA",436,5126,3748
"398",1987,"BOS","CLT",447,4411,7222
"399",1987,"JFK","BWI",103,1512,978
"400",1987,"CLT","AGS",178,1185,1341
"401",1987,"ABQ","DFW",975,4008,6371
"402",1987,"LGA","BNA",268,587,312
"403",1987,"BWI","PIT",594,2502,4635
"404",1987,"IAD","ISP",228,1590,-191
"405",1987,"IAH","BTR",216,1977,550
"406",1987,"PSP","SLC",17,352,354
"407",2001,"PBI","MEM",15,40,10
"408",2001,"OKC","BWI",1,2,1
"409",1988,"STL","IAD",902,5702,7040
"410",1988,"JFK","DFW",1011,17237,19608
"411",1988,"BGR","PWM",219,1276,1286
"412",1988,"BOI","ORD",478,1917,2671
"413",1988,"MDW","MCI",2442,18251,12302
"414",1988,"TUL","ABQ",354,1985,2009
"415",1988,"MEM","GPT",1043,5049,7077
"416",1988,"DTW","LAN",1154,5168,6540
"417",1988,"CLT","MIA",1472,22084,19672
"418",1988,"TYS","CLT",1421,4169,3905
"419",1988,"ALB","BWI",1078,5430,11857
"420",1988,"BWI","GSO",1739,18714,13167
"421",1988,"SJC","IAH",425,1050,322
"422",1988,"ATL","AUS",1052,5781,6264
"423",1988,"SLC","FAT",668,2836,3326
"424",1988,"SAV","LGA",337,1874,300
"425",1988,"ROC","RDU",1067,1226,3194
"426",1988,"MCO","PIT",2224,10005,20160
"427",1988,"LAX","BWI",521,9053,3774
"428",1988,"TPA","SRQ",143,510,619
"429",1988,"PSP","SAN",236,845,165
"430",1989,"OAK","SNA",1372,4380,7955
"431",1989,"MSP","JFK",630,6181,6561
"432",1989,"MSP","TPA",850,5803,4025
"433",1989,"DTW","MIA",1348,9780,10384
"434",1989,"MIA","LAX",1441,15495,7190
"435",1989,"CVG","IND",1501,7361,8850
"436",1989,"RIC","JFK",335,6569,9560
"437",1989,"TPA","LGA",2049,27771,34448
"438",1989,"LNK","OMA",181,1058,1017
"439",1989,"STL","CVG",2198,11872,15676
"440",1989,"CPR","RAP",355,243,336
"441",1989,"COS","SLC",1010,667,2799
"442",1989,"IAH","CRP",1309,5072,-4302
"443",1989,"LGA","HOU",474,3208,1970
"444",1989,"LNK","FSD",78,246,86
"445",1990,"PHL","MCO",2507,26144,32636
"446",1990,"EWR","BWI",1656,11625,13246
"447",1990,"RIC","LGA",1254,7924,12552
"448",1990,"ROC","BWI",1344,5710,9025
"449",1990,"DTW","MKE",2646,23006,26251
"450",1990,"DTW","ORD",6534,46276,58543
"451",1990,"GEG","MSP",789,1833,888
"452",1990,"IAH","MEM",695,556,-2519
"453",1990,"MKE","SFO",342,4370,4279
"454",1990,"ORD","IAD",2970,30057,28329
"455",1990,"ORD","RDU",2718,23913,16872
"456",1990,"ORD","CVG",5218,38947,40342
"457",1990,"SRQ","CVG",358,2998,3357
"458",1990,"DFW","LBB",2749,25242,30722
"459",1990,"PDX","CVG",359,1291,2684
"460",1990,"CVG","MEM",661,2723,1703
"461",1990,"BOS","SJU",697,4321,2161
"462",1990,"ICT","OMA",2,5,0
"463",1990,"MOB","HSV",1,26,24
"464",1990,"BUR","SBA",3,31,49
"465",1990,"BDL","PVD",3,308,47
"466",1991,"PIT","ERI",1767,12955,11900
"467",1991,"PIT","ITH",703,5172,5586
"468",1991,"BWI","LGA",1479,6965,4371
"469",1991,"BOS","DAY",1063,6320,1759
"470",1991,"PHL","MSP",1621,4461,5611
"471",1991,"RAP","MSP",721,-527,1183
"472",1991,"MSP","BIS",1045,2646,2239
"473",1991,"MIA","DFW",3465,21596,26432
"474",1991,"ORD","GEG",692,7907,4220
"475",1991,"CVG","FWA",360,3223,4684
"476",1991,"RDU","BOS",1153,7068,9166
"477",1991,"GEG","SEA",979,4194,7421
"478",1992,"PHL","MHT",1205,9336,10211
"479",1992,"CLT","FLL",1747,18680,23042
"480",1992,"TTN","PIT",646,1627,-39
"481",1992,"AMA","ABQ",669,3808,2718
"482",1992,"STL","MCI",4669,25303,2486
"483",1992,"MEM","MSP",2625,12623,12250
"484",1992,"CID","MSP",1000,48,121
"485",1992,"TPA","MCO",3285,12368,10091
"486",1992,"MCO","JAX",679,6334,7236
"487",1992,"JFK","DTW",818,8621,5996
"488",1992,"GUM","ROP",636,-1615,-2113
"489",1992,"SLC","JFK",712,4788,5910
"490",1992,"RDU","JFK",932,11722,12554
"491",1992,"GEG","PDX",1035,3349,3826
"492",1992,"MKE","DEN",683,2075,1112
"493",1992,"PIT","MYR",221,2449,1654
"494",1992,"CLT","LAS",51,183,370
"495",1992,"ORD","SAV",111,656,1046
"496",1993,"TUS","PHX",5621,15349,13760
"497",1993,"MIA","CLT",1855,10991,3160
"498",1993,"MSY","PHL",661,3294,148
"499",1993,"CLT","AVP",118,256,-555
"500",1993,"LBB","DAL",2688,17148,10828
"501",1993,"ONT","PHX",7759,23882,2080
"502",1993,"JFK","DTW",988,10162,6555
"503",1993,"STL","DFW",5794,29303,20137
"504",1993,"LAX","IAD",2595,8311,-3132
"505",1993,"GRR","ORD",3522,18509,19942
"506",1993,"RDU","ATL",3972,21506,16424
"507",1993,"DFW","SMF",2095,25275,30238
"508",1993,"GNV","ATL",1423,9748,8341
"509",1993,"FLL","RDU",1044,3128,3580
"510",1993,"ABQ","ORD",1060,7394,5755
"511",1993,"BRW","FAI",406,3269,2704
"512",1993,"BIL","JAC",1,0,-1
"513",1994,"PIT","CMH",1819,20232,19080
"514",1994,"TRI","PIT",219,1044,1197
"515",1994,"LAS","BWI",690,9296,5141
"516",1994,"SFO","LAX",17145,88839,60301
"517",1994,"PIT","HPN",945,7063,1916
"518",1994,"CLT","DEN",597,5873,2696
"519",1994,"CLT","MKE",685,5153,4415
"520",1994,"DAL","LIT",2735,21965,18782
"521",1994,"DTW","MDT",963,3902,1244
"522",1994,"HNL","STL",338,1773,-1072
"523",1994,"LAX","JFK",6366,37372,30204
"524",1994,"MCO","JAX",140,159,-34
"525",1994,"SLC","SMF",1481,8606,7241
"526",1994,"SJU","MCO",1064,1266,17
"527",1994,"ATL","CSG",997,3956,5107
"528",1994,"MIA","CVG",713,4350,6407
"529",1994,"PWM","ALB",698,1496,544
"530",1994,"PDX","SLC",1566,9686,9225
"531",1995,"IND","PHX",1043,5459,3585
"532",1995,"IAD","SAN",546,5679,1029
"533",1995,"HRL","SAT",721,6415,4309
"534",1995,"MCI","TUL",1718,13783,9631
"535",1995,"CID","MSP",967,2408,480
"536",1995,"ALB","ORD",2444,20022,11816
"537",1995,"AUS","ORD",2210,11774,11943
"538",1995,"LGB","PDX",27,131,62
"539",1995,"MCO","DTW",2964,21425,13861
"540",1995,"SAN","HNL",112,2282,3383
"541",1995,"DFW","ABQ",4408,45036,48690
"542",1995,"BHM","ATL",2856,26091,34165
"543",1995,"ROC","ATL",720,3658,4627
"544",1995,"BOS","BNA",1008,3554,-1295
"545",1995,"EWR","CMH",2053,25627,23037
"546",1995,"RDU","CVG",1025,5735,4853
"547",1995,"SNA","DEN",1886,11041,6182
"548",1996,"MSP","PHX",3207,40183,43749
"549",1996,"CVG","RDU",1040,7575,11805
"550",1996,"LGA","RDU",1066,13529,10675
"551",1996,"IAH","SAT",4531,25171,24447
"552",1996,"BWI","SFO",718,10481,6760
"553",1996,"SAN","SJC",3022,27384,19390
"554",1996,"IND","TPA",585,7021,4704
"555",1996,"SJC","LAX",4577,44587,33943
"556",1996,"DTW","MCI",1686,15115,8842
"557",1996,"IAH","MSP",1032,7171,9745
"558",1996,"SLC","ONT",1433,18659,18502
"559",1996,"BHM","ATL",3206,30640,45980
"560",1996,"FLL","ATL",3289,37740,43898
"561",1996,"ORD","BOS",9423,111247,120274
"562",1996,"JFK","CVG",359,6726,11350
"563",1997,"IAH","SLC",1543,10876,9973
"564",1997,"DCA","SYR",1003,4325,4028
"565",1997,"GSO","LGA",1159,5012,3059
"566",1997,"HOU","MAF",694,7180,6598
"567",1997,"MCO","MSP",1431,6442,-1881
"568",1997,"SNA","MSP",1045,4430,4390
"569",1997,"ORD","MTJ",19,233,74
"570",1997,"MDW","OMA",2112,23314,18277
"571",1997,"PDX","ORD",2682,21176,17209
"572",1997,"TUL","ORD",1583,7458,11477
"573",1997,"EGE","DFW",332,3013,4348
"574",1997,"BNA","DTW",3391,29277,25297
"575",1997,"DAL","ELP",2047,15084,10772
"576",1997,"SFO","HNL",2758,76745,64767
"577",1997,"DEN","IND",1442,13218,14900
"578",1997,"IAH","ATL",4934,38018,42590
"579",1997,"CLT","AVL",1946,11669,12087
"580",1997,"ATL","BTR",1084,8362,11564
"581",1997,"IND","CVG",721,1331,4580
"582",1997,"PDX","CVG",1060,8795,8349
"583",1997,"RSW","PBI",53,-75,-254
"584",1997,"IAH","EGE",14,78,200
"585",1998,"ANC","SEA",7261,50154,62474
"586",1998,"MEM","LIT",1324,9020,4587
"587",1998,"BHM","MDW",710,7103,4139
"588",1998,"PDX","OAK",4042,31158,26426
"589",1998,"OMA","ORD",1749,18602,17008
"590",1998,"CVG","PHL",1785,9209,13938
"591",1998,"MOB","DFW",351,1217,1237
"592",1998,"DTW","HPN",668,5102,4689
"593",1998,"PHX","IND",728,12870,11761
"594",1998,"MDW","JAN",729,5557,1902
"595",1998,"CVG","AUS",354,966,652
"596",1998,"MCO","BUF",365,1308,-633
"597",1998,"FAY","CLT",1421,520,-696
"598",1998,"JAX","CVG",723,1371,1578
